English Sentence    Igbo Translation    Language Code
Ladies and gentlemen , at TED we talk a lot about leadership and how to make a movement .    Ndi ohaneze , na TED anyi na ekwu maka ichi na otu ibido ihe    en
So let 's watch a movement happen , start to finish , in under three minutes and dissect some lessons from it .    Ka anyi lee anya otu ihe na aga , site na mbido ruo na ngwucha , na ikeji ato ma mutakwa ihe ona akuzi    en
First , of course you know , a leader needs the guts to stand out and be ridiculed .    Nke mbu , okwa unu ma na onye na edu kwesiri igbasike ime ihe ndi ozo ga eji chia ya ochi . mana ihe o na eme di mfe iso    en
Here 's his first follower with a crucial role ; he 's going to show everyone else how to follow .    Ebe a onye mbu na eso ya nwere oru di ezigbo mkpa oga egosi nmadu nile otu ha ga esi eso    en
Now , notice that the leader embraces him as an equal .    Ugbu a , lee ka onye na edu ga esi gbako ya ka ha bu nwanna    en
Now it 's not about the leader anymore ; it 's about them , plural .    Ugbu a , obughikwa maka onye na edu obu maka ha abuo ,    en
Now , there he is calling to his fr``   iends .    Ugbu a , o na akpo ndi enyi ya .    en
Now , if you notice that the first follower is actually an underestimated form of leadership in itself .    Ugbu a , unu ga ahu na onye na eso na mbu buzi ezigbo onye isi na onwe ya ona bu inwe obi ikwu cha puta otu anwu onye izizi na eso bu onye gbanwe onye noru onwe ya to onye ndu ( imu amu ) ( iku aka ) onye nke ibou na eso abia kita oburuzi ofu onye or nmadu abou , nmadu ato bu igwe , igwe bu news so iga na iru ga bu na iro odi nkpa , not just igosi onye na edu , mana igosi ndi na eso maka na ndi ofu na eso na eso ndi na eso , not onye na edu kita , odi nmadu nabu na abia and ozugbo nmadu ito more kita anyi weh momentum .    en
Now , here come two more people , and immediately after , three more people .    Oge anu wa ka anyi akwuru kita ka anyi ga agawu ibido so , nee ka ndi nmadu na join odi less risky ndi kno ani na fence , kita nwe reason not to ha ama kwuchapu ha ama di ridiculed mana ha ga abu ofu na ime igwe ma ha gasia ike ( imu amu )    en
(Laughter)    (Iku aka)    en
So , over the next minute    So , over the next minute , you 'll see all of those that prefer to stick with the crowd because eventually they would be ridiculed for not joining in .    en
And that 's how you make a movement .    Iga afu ndi ga a prefer ikwu with igwe maka eventually ha ga adi ridiculed maka na ha a joinuro and otu anwo ka ige esi abido ihe mana kanyi che maka ihe anyi mu ta ife izizi , obu na gi di ka onye anwu na ehiro efe na agba eqwu na onwe ya rota na odi nmkpa nurturing ndi izizi na eso gi ka unu abu ogbo so , obu maka ibodo ihe and not gi    en
(Laughter)    (Iku aka)    en
Okay , but we might have missed the real lesson here .    Okay , mana anyi we ike ilofu ihe anyi na amu eba nukwu te ihe akuzi , if you noticed obu na ige nti -- bu na idu di over- glorified na , yes , obu onye na ehiro efe bu uzo nya na ewuru afa nine mana obu onye izizi na iso uzo ga atuhari ofu onye ka oburu onye ndu so , ka ha gwaru anyi na anyi nine ga abu ndi ndu ihe anwu enwero isi obu na odi gi ka ifu ibido ihe inwe ume weh soru yana igosi ndi nmadu uzo and oge ifu onye noru onwe ya na eme ihe di egwu nweru obi ibu onye izizi ikwuru oto na ibanye owero ebe ka nma ime ya na aburo , TED . daru ( iku aka )    en
